0   75  1   0
1   73  1   0
2   83  1   0
3   80  1   0
4   79  1   0
5   86  1   0
6   78  1   0
7   77  1   0
8   75  1   0
9   78  1   0
10  0   0   0
11  83  1   0
12  86  1   0
13  83  1   0
14  101  1   0
15  83  1   0
16  80  1   0
17  84  1   0
18  75  1   0
19  76  1   0
20  72  1   0
21  74  1   0
22  73  1   0
23  75  1   0
24  82  1   0
25  71  1   0
26  73  1   0
27  75  1   0
28  67  1   0
29  75  1   0
30  78  1   0
31  88  1   0
32  92  1   0
33  93  1   0
34  81  1   0
35  81  1   0
36  0  0   0
37  78  1   0
